Dataset1a,Gradient Boosted Trees,DATASET1 Full117 columns,,,,,,,DATASET2 184 columns,,,,,,,DATASET3 196 columns,,,,,,,,,,,,
Dataset2a,Decision Tree,MODEL,ACCURACY,RECALL,PRECISION,F1_SCORE,GINI_SCORE,,MODEL,ACCURACY,RECALL,PRECISION,F1_SCORE,GINI_SCORE,,MODEL,ACCURACY,RECALL,PRECISION,F1_SCORE,GINI_SCORE,,,,,,,
Dataset2a,Random Forest,Decision Tree,0.7183,0.5935,0.7068,0.587,0.0254,,Decision Tree,0.717,0.6029,0.6888,0.6025,0.0313,,Decision Tree,0.717,0.6029,0.6888,0.6025,0.0313,,,,,,,
Dataset2a,Gradient Boosted Trees,Random Forest,0.6754,0.5,0.3377,0.4031,-0.1259,,Random Forest,0.6754,0.5,0.3377,0.4031,-0.1259,,Random Forest,0.6754,0.5,0.3377,0.4031,-0.1259,,,,,,,
Dataset3a,Decision Tree,Gradient Boosted Trees,0.721,0.5979,0.7114,0.5931,0.0344,,Gradient Boosted Trees,0.7203,0.602,0.7017,0.5999,0.0322,,Gradient Boosted Trees,0.7192,0.601,0.6988,0.5988,0.0325,,,,,,,
Dataset3a,Random Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset3a,Gradient Boosted Trees,,,,,,,,,,,,,,,,,,,,,,Dataset,Model,Accuracy,Precision,Recall,F1 score
Fulla,Decision Tree,,,,,,,,82 Features,,,,,,,,,,,,,,dataset1a,Decision Tree,0.7183,0.5935,0.7068,0.587
Fulla,Random Forest,,,,,,,,MODEL,ACCURACY,PRECISION,RECALL,F1_SCORE,GINI_SCORE,,,,,,,,,,Random Forest,0.6754,0.5,0.3377,0.4031
Fulla,Gradient Boosted Trees,,,,,,,,Decision Tree,0.717,0.6029,0.6888,0.6025,0.0313,,,,,,,,,,Gradient Boosted Tree,0.721,0.5979,0.7114,0.5931
Filtered1a,Decision Tree,,,,,,,,Random Forest,0.712,0.5759,0.713,0.5581,0.0002,,,,,,,,,dataset2a,Decision Tree,0.717,0.6029,0.6888,0.6025
Filtered1a,Random Forest,,,,,,,,Gradient Boosted Trees,0.7203,0.602,0.7017,0.5999,0.0322,,,,,,,,,,Random Forest,0.6754,0.5,0.3377,0.4031
Filtered1a,Gradient Boosted Trees,,,,,,,,,,,,,,,,,,,,,,,Gradient Boosted Tree,0.7203,0.602,0.7017,0.5999
Filtered2a,Decision Tree,,,,,,,,23 Features,,,,,,,,,,,,,,dataset3a,Decision Tree,0.717,0.6029,0.6888,0.6025
